FacilityName,UCDID,Name,StreetNo,StreetName,City,State
Correia Family Dairy,,"Correia, Joe I. - o/o",3099,County Rd F,Artois,CA
Frank J. and Eva May Leonardo Dairy,,"Leonardo, Frank J - o/o",7875,County Rd 40 ,Glenn,CA
PINHEIRO & DENIZ DAIRY,1,Pinheiro and Deniz Partnership - op; Estate of Jesse Pinheiro and Joseph A Deniz - owner,2630 (not 2628),COUNTY RD T,GLENN,CA
Alves Dairy dba Alves Farms,2,"Alves, Greg - op;  Alves, Greg A, Gary, Richard, and Michael - owners",2439,County Rd V,Glenn,CA
Greenwood #2 (Simson) Dairy,3,"Vander Dussen, Daniel (was Simson, Ron )- op;  Simson Land & Livestock Co. - owner",2945,County RD V,GLENN,CA
Leonardo Dairy,4,"Leonardo, Frank - o/o",2695,County Rd W,Glenn,CA
Manuel Rocha Dairy   (was NOB HILL DAIRY),5,"Rocha, Manuel and Linda (was SIMAS MANUEL & ESTHER) -- o/o",4975 (4972 not 4975),2ND AVE,ORLAND,CA
VOGTS HOLSTEIN DAIRIES #1,6,VOGT JOHNNY AND LINDA - o/o,7831,CAPAY AVE,ORLAND,CA
Nick Beglinger Dairy,7,"BEGLINGER, Nick & Diane - o/o",7329,County RD 16,ORLAND,CA
Northwind Dairy,8,"Verboom, Pete and Cathleen - o/o",5944,County Rd 17,ORLAND,CA
Chris Verboom Dairy,9,VERBOOM Chris - o/o,5943 (5951?),County RD 17,ORLAND,CA
Melo Dairy,10,MELO FRANK S & IZALTINA - o/o,7399 (7933),County RD 21,ORLAND,CA
Beckendam Dairy ,11,BEKENDAM TIM - o/o,6314,County RD 24,ORLAND,CA
KAISER GALLO DAIRY,,"GALLO STEVEN L & KAISER CORY -OP;  Kaiser, Ruby - owner",7920 (not 7912),County Rd 24,Orland,CA
Pedrozo Dairy,12,"Pedrozo, Timothy and Jill - o/o",7713,County Rd 24,ORLAND,CA
ABARCA DAIRY,13,"Abarca, Javier - op; Lacque, Wade & Ed - owners",6464 (not 6478),County Rd 25,ORLAND,CA
Silveira Dairy,14,"Silveira, Victor - op, SILVEIRA JOSE & ERMELINDA-owners",6259,COUNTY RD 25,ORLAND,CA
GREENWOOD DAIRY,15,"VANDER DUSSEN DANIEL - op; Verboom, Pieter Sr. - owner",6569,COUNTY RD 27,ORLAND,CA
Maarten Poldervaart Dairy,16,POLDERVAART MAARTEN - op;  Poldervaart Farms - owner,6916,County RD 30,ORLAND,CA
VAN TOL DAIRY NO 2,17,VAN TOL CASEY & JAKE - op;  Van Tol Dairy #2 - owner,6756,County RD 30,ORLAND,CA
Goedhart Dairy,18,GOEDHART AVA & GILBERT - o/o,7084,COUNTY RD 31,ORLAND,CA
Silveira Jersteins Dairy                                                                        (was Wackerman Dairy),19,"Silvieira, Manuel - op;  Fernandez, Diego - owner",6951,Highway 32,ORLAND,CA
Kania Dairy,20,KANIA MIKE - o/o,6583,County RD 6,ORLAND,CA
Stokes Dairy,,"Stokes, Kevin L - op;  Sstokes and Son Cattle Company - owner",6974,County Rd 6,Orland,CA
INNISFAIL DAIRY                                              (was Pinheiro Dairy),21,Stuart & Emily Rowe - o/o (was Edwin N Pinheiro - op),6368,County RD 7,ORLAND,CA
John Machado and Sons Dairy,22,MACHADO JOHN - o/o,6230,County RD 7,ORLAND,CA
HILLSIDE FARMS                                             (Moo View Jerseys Dairy),23,"FREEMAN, William & Michele - op;  Ohring, Jean - owner (no longer Michael Lima)",3719,County Rd  C,ORLAND,CA
Timinsky Dairy,24,"Timinsky, Judy - op;  Timinsky, John and Judith - owners",3552,County Rd D,Orland,CA
MARTINS FAMILY DAIRY,25,Martins - Frank and Mario - op;  Martins Family Dairy - owner,4489,County Rd  E,ORLAND,CA
